metodo,butterworth,suavizado,ventana_s,shift_s,n_celdas,Pearson,Spearman,MAE_dB,RMSE_dB,bias_rec_menos_fa_dB
welch,False,rolling,60,5,118080,0.6591574853807344,0.6235796928782842,4.650690469780987,6.631427017917135,3.8258063424470192
welch,False,rolling,60,6,118020,0.6584131111327495,0.6224638919422623,4.6587617291496555,6.63882480106518,3.8295173842088093
welch,False,rolling,60,7,117960,0.6575548552469779,0.6210617540548665,4.667493139698839,6.64630489476028,3.832876675684381
welch,False,rolling,60,8,117900,0.656533669326279,0.6193473300243748,4.677361603055697,6.654566521921531,3.8361513966659104
welch,False,rolling,60,9,117840,0.6553203135647937,0.6173363598525753,4.68892979587215,6.664835345898523,3.840233015207935
welch,False,rolling,60,10,117780,0.6538673809468464,0.6149785554031201,4.702181995736214,6.677014264681998,3.84480218257027
welch,False,rolling,60,11,117720,0.6521602342493836,0.612264000572948,4.716482299426239,6.690697136615632,3.8493040866576624
welch,False,rolling,60,12,117660,0.6502489213472255,0.6091914275047903,4.731699645561884,6.705336421106279,3.8534079002674293
welch,False,rolling,60,13,117600,0.6481429469724608,0.6058266173700347,4.7479349717839145,6.721028987675555,3.857165475604715
welch,False,rolling,60,14,117540,0.6458532499355936,0.6022103324086937,4.764952496492463,6.737789108475562,3.8608472795562525
welch,False,rolling,60,15,117480,0.6433900570769299,0.5983870389874816,4.78262376300857,6.755374633799142,3.8643057603707502
welch,False,rolling,60,16,117420,0.6408168861849219,0.5944160093586756,4.800992546435903,6.7736696263831,3.867807012600453
welch,False,rolling,60,17,117360,0.6381158732961486,0.5902603143669759,4.8199173366514785,6.792716251397267,3.8712369451486124
welch,False,rolling,60,18,117300,0.6353411431140672,0.5859774009056494,4.839062650986304,6.811820114692169,3.874120929258398
welch,False,rolling,60,19,117240,0.6324490813946971,0.5815669556969975,4.858686159534454,6.831555098726963,3.8768290499898495
welch,False,rolling,60,20,117180,0.6294750005733106,0.577088845156975,4.8787307874912305,6.8517102716027125,3.8798643540149538
welch,False,rolling,60,21,117120,0.6265007183161116,0.5726345306801243,4.898830438269741,6.872253140922523,3.8831570437494083
welch,False,rolling,60,22,117060,0.6235462090547318,0.5681983778593989,4.918288458320912,6.8924568216975715,3.886233184319535
welch,False,rolling,60,23,117000,0.6206617951446793,0.5638294960387653,4.937096288411889,6.912199125489896,3.889313499001649
welch,False,rolling,60,24,116940,0.6178203134399981,0.559502856623536,4.95524232987076,6.931465832575435,3.8920294069328216
welch,False,rolling,60,25,116880,0.6150400978314663,0.5552377319013821,4.972953141022873,6.950382046060155,3.8951635528203745
welch,False,rolling,60,26,116820,0.6123087720177884,0.5510287829810276,4.99035206704008,6.969113030150343,3.8985881184657067
welch,False,rolling,60,27,116760,0.609689729077396,0.5469624830026745,5.007063219210612,6.987084917920887,3.9018735405536904
welch,False,rolling,60,28,116700,0.6072058320434168,0.543043314466097,5.023047371060269,7.0042298552108555,3.9054345471105707
welch,False,rolling,60,29,116640,0.6048783548091081,0.5392754367034946,5.038424216292225,7.020405296677956,3.9090269297070184
welch,False,rolling,60,30,116580,0.6026060729230169,0.5356401377582964,5.053365915440119,7.03615574713087,3.912902398689042
welch,False,ewm_alpha,1,0,118380,0.4092147265551989,0.33303967731108264,7.890390125421507,10.287474478034508,3.9192564999838244
welch,False,ewm_alpha,1,1,118320,0.4119960424870443,0.3355961881676026,7.869736919941662,10.256161905764829,3.9060037187702386
welch,False,ewm_alpha,1,2,118260,0.41413909926847536,0.3383819739205067,7.851278394944586,10.241433746517727,3.8933566253955796
welch,False,ewm_alpha,1,3,118200,0.4154347058465737,0.3405157649068188,7.837485756634168,10.233510560465298,3.883233840077561
welch,False,ewm_alpha,1,4,118140,0.41956775610760205,0.34516468935680134,7.810692159368765,10.20384712779115,3.8752699674975424
welch,False,ewm_alpha,1,5,118080,0.42624819406271436,0.35275139030312663,7.783333833319516,10.180328510468232,3.886665615860539
welch,False,ewm_alpha,1,6,118020,0.4336885909531419,0.36120370536091384,7.743161257607258,10.14399931332313,3.891039775808913
welch,False,ewm_alpha,1,7,117960,0.440744749106959,0.3697182675593149,7.709200390239892,10.116262175859974,3.9054492516733363
welch,False,ewm_alpha,1,8,117900,0.4480730221324416,0.3784726352038858,7.662807256212411,10.074722893433371,3.9000528751952745
welch,False,ewm_alpha,1,9,117840,0.4566969423678911,0.38807483926047576,7.623083279255372,10.033433820916443,3.90615035879076
welch,False,ewm_alpha,1,10,117780,0.46562217518919924,0.3983697128365681,7.574239286942255,9.986510050244565,3.910378636414477
welch,False,ewm_alpha,1,11,117720,0.4743849922745576,0.40853049241963074,7.534373874960687,9.948416151724734,3.9253512749342554
