Tiempo_s,Canal_1,Canal_2
3.8281,-2699,-3063
3.8359,-2561,-3416
3.8438,-2663,-3151
3.8516,-2723,-3023
3.8594,-2708,-2961
3.8672,-2501,-2689
3.8750,-2481,-2770
3.8828,-2620,-3382
3.8906,-2970,-3467
3.8984,-3384,-3317
3.9062,-3396,-3466
3.9141,-3086,-3158
3.9219,-3293,-2927
3.9297,-3409,-3095
3.9375,-3298,-3343
3.9453,-3274,-3436
3.9531,-3136,-3228
3.9609,-3080,-3068
3.9688,-3400,-3157
3.9766,-3120,-3005
3.9844,-2906,-3075
3.9922,-3093,-3335
4.0000,-3134,-3292
4.0078,-2976,-3210
4.0156,-2714,-3379
4.0234,-2115,-3297
4.0312,-1788,-3439
4.0391,-1257,-3581
4.0469,-878,-3265
4.0547,-947,-2880
4.0625,-843,-3046
4.0703,-940,-3626
4.0781,-1480,-3974
4.0859,-1405,-3672
4.0938,-1309,-3657
4.1016,-1692,-3902
4.1094,-1900,-3209
4.1172,-2012,-3223
4.1250,-2355,-3331
4.1328,-2323,-2968
4.1406,-2327,-2976
4.1484,-2442,-3131
4.1562,-2229,-2624
4.1641,-2266,-3009
4.1719,-2484,-3391
4.1797,-2769,-3198
4.1875,-2734,-3064
4.1953,-2630,-3107
4.2031,-2514,-2969
4.2109,-2632,-2657
4.2188,-2648,-2447
4.2266,-2899,-3116
4.2344,-2845,-3144
4.2422,-2927,-2866
4.2500,-2937,-2965
4.2578,-2652,-2887
4.2656,-2572,-2456
4.2734,-3181,-2955
4.2812,-3088,-3044
4.2891,-3120,-2609
4.2969,-3021,-2729
4.3047,-2859,-3092
4.3125,-2892,-2871
4.3203,-2978,-2752
4.3281,-2899,-2766
4.3359,-2827,-3261
4.3438,-2495,-3342
4.3516,-2973,-3024
4.3594,-3288,-2842
4.3672,-2874,-2672
4.3750,-2644,-2544
4.3828,-2890,-2764
4.3906,-2765,-2320
4.3984,-2766,-2362
4.4062,-2614,-3114
4.4141,-2406,-3167
4.4219,-2513,-2648
4.4297,-2597,-2744
4.4375,-2557,-2601
