registro,lado,metodo_espectral,bandwidth_B,suavizado,mascara,modo,SpSmooth_s,shift_s,segundos_enmascarados,porcentaje_enmascarado,n,Pearson,MAE,RMSE,bias
L04301923,derecha,Welch,,ewm,ARTF2,bilateral,30,7,1095,15.208333333333332,365880,0.9867797415030415,0.9801665313687336,1.4143078814641792,0.1270080143962698
L04301923,derecha,Welch,,ewm,base,bilateral,30,7,28,0.3888888888888889,429900,0.9851961067740539,0.9905616297908086,1.5082380188225846,0.11261644820760469
L04301923,derecha,Welch,,rolling,ARTF2,bilateral,30,6,1095,15.208333333333332,365940,0.9847964046923392,1.0334523789241443,1.5016306203200425,0.1447859180520806
L04301923,derecha,Welch,,rolling,base,bilateral,30,6,28,0.3888888888888889,429960,0.9829668382251974,1.0215341444725707,1.598268779597403,0.12278192752705235
L04301923,izquierda,CWT Morlet,0.5,ewm,ARTF2,bilateral,30,7,922,12.805555555555555,376320,0.9821689309176377,3.968524327829313,4.299891870298109,3.59463333271343
L04301923,izquierda,CWT Morlet,0.5,ewm,base,bilateral,30,7,31,0.4305555555555556,429720,0.9802904931031771,3.9100332392544463,4.246718907514068,3.5002688834272613
L04301923,izquierda,CWT Morlet,0.5,rolling,ARTF2,bilateral,30,5,922,12.805555555555555,376440,0.9809629586386185,3.971838107751704,4.301807909629678,3.588887539285262
L04301923,izquierda,CWT Morlet,0.5,rolling,base,bilateral,30,6,31,0.4305555555555556,429780,0.9781898847544758,3.929430480354468,4.260577788310692,3.497038513329396
L04301923,izquierda,CWT Morlet,1.5,ewm,ARTF2,bilateral,30,7,922,12.805555555555555,376320,0.9824290278130322,2.979716876083766,3.2936425276839367,2.547912674398417
L04301923,izquierda,CWT Morlet,1.5,ewm,base,bilateral,30,7,31,0.4305555555555556,429720,0.9807643214434043,2.927275815944254,3.2460695137531754,2.4388532017182576
L04301923,izquierda,CWT Morlet,1.5,rolling,ARTF2,bilateral,30,6,922,12.805555555555555,376380,0.9814313597634342,2.9846787671805672,3.300392771888816,2.545375395106907
L04301923,izquierda,CWT Morlet,1.5,rolling,base,bilateral,30,6,31,0.4305555555555556,429780,0.9783525552878853,2.9657362882968727,3.2764598762215176,2.4385078185857725
L04301923,izquierda,CWT Morlet,3.0,ewm,ARTF2,bilateral,30,7,922,12.805555555555555,376320,0.9820767538906621,2.7025590804129433,3.0298928877826676,2.2376681062174737
L04301923,izquierda,CWT Morlet,3.0,ewm,base,bilateral,30,8,31,0.4305555555555556,429660,0.9810403027362984,2.6532428411874647,2.9811057825269875,2.1438388453182933
