registro,modo,lado,metodo,bandwidth_B,SpSmooth_s,shift_s,n,Pearson,MAE,RMSE,bias
L03041035,unilateral,unilateral,Welch,,30,16,115620,0.7089904373336899,3.813233919723879,5.107005525852629,2.9485207176192176
L03041035,unilateral,unilateral,Welch,,30,17,115500,0.7037339457994444,3.8398331575316575,5.136390647757612,2.948707093828797
L03041035,unilateral,unilateral,Welch,,30,18,115380,0.6978831233224319,3.8684308169998713,5.169618907587419,2.949665443202927
L03041035,unilateral,unilateral,Welch,,30,19,115260,0.6914690129759781,3.8989961566194533,5.206509605997201,2.9518669689327877
L03041035,unilateral,unilateral,Welch,,30,20,115140,0.684537612887115,3.9311833586612464,5.246082008390825,2.954612397652057
L03041035,unilateral,unilateral,Welch,,30,21,115020,0.6773801542041126,3.9630947545726247,5.286691916463746,2.9569617097882035
L03041035,unilateral,unilateral,Welch,,30,22,114900,0.6700388510919083,3.9948759777263425,5.327638015041977,2.9578077456489997
L03041035,unilateral,unilateral,Welch,,30,23,114780,0.662568702436238,4.0268610414189085,5.369073005956134,2.957886413914728
L03041035,unilateral,unilateral,Welch,,30,24,114660,0.6550778826892094,4.058155873967882,5.410092475837153,2.9571835138898557
L03041035,unilateral,unilateral,Welch,,30,25,114540,0.6474809862168843,4.089359587042286,5.451300958544348,2.9570583753776285
L03041035,unilateral,unilateral,Welch,,30,26,114480,0.6385351647041049,4.127568896204568,5.507610524453702,2.9630634035500183
L03041035,unilateral,unilateral,Welch,,30,27,114420,0.6301911604389447,4.164094622689478,5.557985609421745,2.967145335131357
L03041035,unilateral,unilateral,Welch,,30,28,114360,0.6220409866722367,4.200277957742904,5.606732269571899,2.9708026467678383
L03041035,unilateral,unilateral,Welch,,30,29,114300,0.6140314072584133,4.236659469187548,5.656171647506534,2.975517597525054
L03041035,unilateral,unilateral,Welch,,30,30,114240,0.6062385370243082,4.272662214585431,5.703881266669381,2.981187316973445
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,0,117540,0.6466612125338724,6.040269288537034,7.323849575455739,5.915607844876311
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,1,117420,0.653008446833009,6.032321596140375,7.29744427808309,5.912607989580049
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,2,117300,0.6591329304658394,6.024254080737654,7.271315509719312,5.9090461702292005
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,3,117180,0.6650948440277642,6.016609694993612,7.245683344958205,5.905481235021146
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,4,117060,0.6706534089263161,6.0096029247853275,7.221512511791011,5.901965939424967
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,5,116940,0.675706829790518,6.003056429175676,7.199212806956153,5.898186202139541
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,6,116820,0.6802443208119914,5.996130322038518,7.17799863818561,5.893287466655903
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,7,116700,0.6840870249181956,5.989593051447907,7.159217207348107,5.888278503668656
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,8,116580,0.687137124970158,5.983702071496708,7.143289059793023,5.88324421975981
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,9,116460,0.6893397647989795,5.979634519650135,7.13127910984336,5.879248102485434
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,10,116340,0.6905875426069606,5.97742709460625,7.123842346552006,5.876466752670153
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,11,116220,0.6909501544878494,5.976070941562121,7.119757247458733,5.873828087655788
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,12,116100,0.6904168624289061,5.974746193966202,7.118418539501526,5.870578837712583
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,13,115980,0.6889470094123915,5.974360503270346,7.1205299217229685,5.867500853466914
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,14,115860,0.6865194414734938,5.976488309972488,7.12763012062641,5.866300435296804
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,15,115740,0.683232732942273,5.980297830048162,7.138883113435579,5.8663238887218405
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,16,115620,0.6791943550809836,5.98462756770222,7.152660774753692,5.866089643912692
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,17,115500,0.6744338823596252,5.989432996499782,7.168776863358104,5.865598515703421
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,18,115380,0.6690272531665203,5.995937412541366,7.187895068378282,5.865943965193883
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,19,115260,0.6630066691944952,6.00454305078272,7.210264904189049,5.867697591418924
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,20,115140,0.6564569298771529,6.014652844628422,7.235145061913401,5.87048311843405
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,21,115020,0.6496276733554281,6.025102626495511,7.26094535466603,5.873225623576532
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,22,114900,0.6425959431774361,6.0352176836443325,7.286602235022051,5.874697674245743
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,23,114780,0.6354666196041635,6.045315045249496,7.312086563905524,5.875265952528413
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,24,114660,0.6282951721519673,6.054927267239682,7.33706804357166,5.875025929006346
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,25,114540,0.6210074983563503,6.064831967976596,7.362404781079473,5.874907929310022
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,26,114480,0.6125079918374342,6.081407413535721,7.398620883636586,5.88076702303659
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,27,114420,0.6044405832182124,6.096715062526973,7.431527738870407,5.884997948068441
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,28,114360,0.5965256821181898,6.112052097798288,7.46345230502441,5.888586289950954
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,29,114300,0.5887044309109092,6.127892772597626,7.496100189216425,5.892795456023804
L03041035,unilateral,unilateral,CWT Morlet,0.5,30,30,114240,0.5810263462253344,6.144368315733762,7.528703154117694,5.8978550191809855
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,0,117540,0.6660536383088823,5.4745270251561555,6.81076497463489,5.311560997570895
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,1,117420,0.6720561223668138,5.4650766018225285,6.783298316733843,5.3086973519475995
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,2,117300,0.677847845938596,5.455544854488226,6.756090562320963,5.305225282107124
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,3,117180,0.6834699138005815,5.4468269931024285,6.7295012815516575,5.30187420331792
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,4,117060,0.688707996563025,5.438835880129014,6.7043946602581075,5.298535079908951
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,5,116940,0.6934501208968927,5.431480570816755,6.6813209574548384,5.2948868956038835
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,6,116820,0.697682605263206,5.42421939602033,6.65966198870735,5.290239268460271
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,7,116700,0.7012328319388098,5.417922360516058,6.6407583309926554,5.285572721017064
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,8,116580,0.7040120625571527,5.412818616835658,6.625007049548016,5.280971466166251
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,9,116460,0.7059680060252814,5.409702243315718,6.613471442352957,5.277510705638669
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,10,116340,0.7070120563724674,5.4084555730236685,6.606630162887598,5.275158982889274
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,11,116220,0.7072189911171676,5.408077504409147,6.603247493510414,5.272845807652702
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,12,116100,0.7065775628224867,5.407945024352372,6.602799849278918,5.269878603261471
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,13,115980,0.7050560160179437,5.4089324387782955,6.605925739263979,5.267043442211617
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,14,115860,0.7026159693870002,5.41274743974574,6.614294720587516,5.266142594708954
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,15,115740,0.6993611312809763,5.418560799840916,6.626980953893042,5.266475614213313
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,16,115620,0.6954078800844355,5.424946611216527,6.64213636225774,5.266376653083829
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,17,115500,0.6907816402497774,5.431773958228944,6.659654614814636,5.265932213339283
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,18,115380,0.6855525039270804,5.440300927718372,6.680277210323347,5.266341670590363
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,19,115260,0.6797588013682949,5.45095935676906,6.704146523726683,5.268132589796163
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,20,115140,0.6734678494247176,5.463091009567158,6.730554344111531,5.270929271816073
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,21,115020,0.666900714999018,5.475495965937437,6.757812839975181,5.273521657023984
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,22,114900,0.66016152871757,5.487774317010797,6.784907418142219,5.274794062603137
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,23,114780,0.653353918416826,5.4998547454141775,6.811784179111046,5.275170710265956
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,24,114660,0.6465180222226329,5.511439253759538,6.838184949556091,5.274797453972582
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,25,114540,0.6395653968935784,5.523382313085436,6.864932565622728,5.274499225620508
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,26,114480,0.631452496497517,5.541907369125377,6.902533205134271,5.2800052044113635
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,27,114420,0.6237466307428625,5.559133377358148,6.9367521413279585,5.283812318798165
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,28,114360,0.616205440256771,5.576452961826768,6.969964142503261,5.28707320571397
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,29,114300,0.608735139113169,5.594638982879886,7.004037210944691,5.29110004812703
L03041035,unilateral,unilateral,CWT Morlet,1.5,30,30,114240,0.6014198663308896,5.613310486444376,7.0378188094795835,5.295881441723574
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,0,117540,0.6693960287031295,5.344604351631432,6.704599142949335,5.17108821267157
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,1,117420,0.6752250153277766,5.334626922692434,6.677164625349695,5.168200873120157
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,2,117300,0.6808476541101369,5.324617374225787,6.649997107710016,5.164706345686191
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,3,117180,0.6862989494501974,5.3155567211958585,6.623462368987468,5.16136793732483
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,4,117060,0.6913954027769944,5.307206372829023,6.5982589597454515,5.157970398487138
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,5,116940,0.6960135617261719,5.299640858876066,6.575062013439874,5.154250812697626
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,6,116820,0.7001363422020869,5.292433910639937,6.553339781461888,5.149587963866315
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,7,116700,0.7035919118159876,5.286338261439224,6.534418167273889,5.144933368499243
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,8,116580,0.7062938511782072,5.281562834971613,6.518705118347959,5.140402858072531
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,9,116460,0.7081859132619025,5.278847524023761,6.507258972799192,5.13703479301427
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,10,116340,0.7091914365719223,5.277998999910891,6.500458177502213,5.134728514461028
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,11,116220,0.7093828249435792,5.278049540271791,6.4971113893731705,5.132440436889321
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,12,116100,0.7087518182097708,5.278333748694771,6.496713449879251,5.1295028549488775
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,13,115980,0.7072697585789589,5.279750615018593,6.499859509094141,5.126681994922188
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,14,115860,0.704893589459548,5.283926595868776,6.508165772436773,5.125733781891661
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,15,115740,0.7017184945354208,5.290207291132406,6.520796221490805,5.126009651430013
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,16,115620,0.6978596637546312,5.2971059979650486,6.535950148656005,5.125864649774096
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,17,115500,0.6933479819954005,5.304363940467868,6.553460269098094,5.125350292921065
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,18,115380,0.6882527699234191,5.313484920169536,6.574020721863446,5.125658260837163
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,19,115260,0.6826079592293881,5.324751766711592,6.597806357175381,5.127331930034651
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,20,115140,0.6764748214653105,5.337621791813281,6.624139095151197,5.130000912085067
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,21,115020,0.6700682484722271,5.3507314451463905,6.651359132097409,5.132465146545343
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,22,114900,0.6634979996788345,5.363658568384939,6.678469462503276,5.133660896661344
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,23,114780,0.6568785621250851,5.37638084870766,6.705333849997718,5.134011058655786
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,24,114660,0.6502390686249503,5.388639160801297,6.731747634698938,5.133666412345036
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,25,114540,0.6434896593613707,5.4012143640646935,6.758478025304826,5.133350484520707
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,26,114480,0.6356216713681715,5.420257415474314,6.795805307885861,5.138669403561982
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,27,114420,0.6281441036207901,5.438250611310011,6.829843195165563,5.142336914858611
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,28,114360,0.6208448380561902,5.456294515197326,6.862833560008698,5.145520051224235
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,29,114300,0.6136070225928488,5.474988033683844,6.896759387704645,5.149559630960447
L03041035,unilateral,unilateral,CWT Morlet,3.0,30,30,114240,0.6065274994998056,5.494104344762979,6.930337347072949,5.154328712435956
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,0,117540,0.6691543079675242,5.258506539629078,6.652562307576892,5.074996518662779
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,1,117420,0.6747896450503065,5.248022803700673,6.625351599148211,5.072038590390866
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,2,117300,0.6802268634046914,5.237673070314356,6.598400282088847,5.068477888948929
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,3,117180,0.6854875514699926,5.228232118547838,6.5720764403926895,5.0650847906768295
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,4,117060,0.6904298295112746,5.2195123120555325,6.546884941275351,5.061549886851211
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,5,116940,0.6949216191632979,5.211708394767594,6.52361851039573,5.05768721546311
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,6,116820,0.6989377160467505,5.204325379265922,6.5018508227098355,5.052934452456382
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,7,116700,0.7023073777184787,5.198184299689559,6.482877219157771,5.048201497569092
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,8,116580,0.7049478508498216,5.19349712269472,6.467144854290378,5.043686547085821
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,9,116460,0.7067975369643192,5.1910235096363815,6.455680687708246,5.040351646695256
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,10,116340,0.7077948879723288,5.190432576901767,6.448751734348526,5.038037062556828
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,11,116220,0.7080072156131559,5.19071202170979,6.445225517142833,5.035723078103335
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,12,116100,0.7074301531555839,5.1915116842362785,6.444611641620325,5.032764297719382
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,13,115980,0.7060350016250345,5.193485287325851,6.447484453411405,5.029915643937038
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,14,115860,0.7037798723128775,5.198203937417706,6.455360818345046,5.028869110737411
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,15,115740,0.7007462645519041,5.204939947633244,6.467523610307882,5.029034377977957
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,16,115620,0.6970469602653274,5.212326479922054,6.4822486413631655,5.0288037922466735
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,17,115500,0.692720935795169,5.220190549519667,6.499287425344951,5.028177178942684
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,18,115380,0.6878286722572142,5.229900522830112,6.519318981317094,5.028342114967239
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,19,115260,0.6824067969399288,5.241616878432258,6.542526159905996,5.0298632671368235
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,20,115140,0.6765082014159577,5.2548919472929905,6.568280400502406,5.032378563751434
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,21,115020,0.6703344305401399,5.268328623672606,6.594976035754616,5.034680611889653
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,22,114900,0.6640054132041883,5.28162389001517,6.62162501052129,5.035772690385049
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,23,114780,0.6576448916493374,5.294620922563945,6.64800206985021,5.036075301679944
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,24,114660,0.6512705309675768,5.307302310474218,6.673979305159516,5.035754188589755
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,25,114540,0.6447952134286541,5.320316132932169,6.700248093907536,5.035411005425117
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,26,114480,0.6372616532120032,5.339888718501412,6.736769334508147,5.0405509729369165
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,27,114420,0.6300856060643977,5.358316050485723,6.770210847846945,5.044111562623226
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,28,114360,0.6230937433268275,5.3767136045191535,6.80262581712828,5.047272245285807
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,29,114300,0.6161494604977509,5.39576576976656,6.836046174608221,5.051369401152275
L03041035,unilateral,unilateral,CWT Morlet,6.0,30,30,114240,0.6093666476156525,5.415059621639161,6.869074512926125,5.05617562835265
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,0,117540,0.6662581235372871,5.187687929721249,6.630573723515772,4.991793175840428
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,1,117420,0.6716344983382897,5.1765571141189906,6.603830034525553,4.988693831823152
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,2,117300,0.6768247008896919,5.16566127547324,6.57733160041022,4.985002107701526
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,3,117180,0.681838247337962,5.155739446167333,6.551408568556631,4.981479752161065
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,4,117060,0.6865732903886641,5.146547127422273,6.526416950784123,4.977739119756749
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,5,116940,0.6908951341204382,5.138338591408461,6.503221945223116,4.973667515542645
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,6,116820,0.694774412005272,5.130666832612161,6.4815202236736384,4.968784926537097
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,7,116700,0.6980393856373527,5.124446621522931,6.462577683227693,4.963952821277863
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,8,116580,0.7006069725915819,5.1198473002261125,6.446884616098534,4.9594513422504765
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,9,116460,0.7024129021868464,5.117482973874199,6.435388397668995,4.956129879790712
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,10,116340,0.7034081357802136,5.11708464112445,6.428264538397181,4.953778437747648
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,11,116220,0.7036556909928406,5.117820146415787,6.424436231449207,4.95139375242602
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,12,116100,0.7031560589480477,5.119240434924092,6.4234376674579305,4.948365572611485
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,13,115980,0.7018798575416044,5.121891417133513,6.4258401389997974,4.945450884079996
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,14,115860,0.6997909370616334,5.127408897486574,6.433035999418188,4.944272702465577
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,15,115740,0.6969514540304388,5.134892849474974,6.444454464372255,4.944303303254673
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,16,115620,0.693470691154287,5.142939136381111,6.458446348644195,4.943965874293963
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,17,115500,0.6893963998173493,5.151369057071285,6.474673332066544,4.94319462856558
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,18,115380,0.6847790884452584,5.161448468596349,6.4937866335219345,4.943165931905859
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,19,115260,0.6796575733056771,5.173712824791251,6.515978106503818,4.944468289462294
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,20,115140,0.674078145095128,5.187576755593263,6.5407034908048765,4.946774033062616
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,21,115020,0.6682210516049708,5.201529187888609,6.566458790286335,4.948880108170658
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,22,114900,0.662219051071634,5.215233883571205,6.592246137963146,4.94985453463367
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,23,114780,0.6562012727748425,5.228732844998878,6.617747222038554,4.950098409886874
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,24,114660,0.6501750562639077,5.241782041206418,6.642894814203395,4.949785244535147
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,25,114540,0.6440588056748713,5.255258836734948,6.668295659402743,4.949381460301394
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,26,114480,0.6369776040414672,5.274975747839681,6.7034357831899225,4.954308006486808
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,27,114420,0.6302075637870618,5.2936720794590215,6.7358166188548685,4.957763282351976
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,28,114360,0.62361749353285,5.312233339671903,6.767297987705722,4.960952799276982
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,29,114300,0.6170616339185266,5.331458615041548,6.7998438110669905,4.965156518214813
L03041035,unilateral,unilateral,CWT Morlet,12.0,30,30,114240,0.6106668142529228,5.350938367475275,6.8319548592343144,4.970036113980783
L05141322,bilateral,izquierda,Welch,,30,0,154500,0.9340215697879141,1.6775095313225727,2.3909376234986186,0.5167965155056894
L05141322,bilateral,izquierda,Welch,,30,1,154380,0.9353773127649855,1.653859977008614,2.3676998519623935,0.5174026870727192
L05141322,bilateral,izquierda,Welch,,30,2,154260,0.9365403625938263,1.6334081325462342,2.347589433813684,0.5180219116453991
L05141322,bilateral,izquierda,Welch,,30,3,154140,0.9375057395299508,1.6167994992121535,2.3307790812735725,0.5186538934641453
L05141322,bilateral,izquierda,Welch,,30,4,154020,0.9382622064016223,1.60475259500868,2.3175497371943083,0.5193118251758653
L05141322,bilateral,izquierda,Welch,,30,5,153900,0.9387296357527629,1.598799279031027,2.3093897789809534,0.5200210875678116
L05141322,bilateral,izquierda,Welch,,30,6,153780,0.9388386328996144,1.6004143505899462,2.3075866666485285,0.5207507403074793
L05141322,bilateral,izquierda,Welch,,30,7,153660,0.9385777215743372,1.6093335899390246,2.312365967494466,0.5215216113039547
L05141322,bilateral,izquierda,Welch,,30,8,153540,0.9379481623216667,1.6251927688837295,2.323635714505658,0.5222455707864093
L05141322,bilateral,izquierda,Welch,,30,9,153420,0.9369652171471609,1.6471108322847725,2.3410312227148906,0.5229061425388662
L05141322,bilateral,izquierda,Welch,,30,10,153300,0.9356505980177411,1.6741214096004704,2.3640605289598553,0.5235631006767347
L05141322,bilateral,izquierda,Welch,,30,11,153180,0.9340205085838951,1.7054854688432817,2.3922304107952486,0.5240924003165944
L05141322,bilateral,izquierda,Welch,,30,12,153060,0.932101278541548,1.7403032503170557,2.4249493668927866,0.5245647229872011
L05141322,bilateral,izquierda,Welch,,30,13,152940,0.9299185842610498,1.7777288911903504,2.4615547838770917,0.5248680134873553
L05141322,bilateral,izquierda,Welch,,30,14,152820,0.9275100108290738,1.8169658190051017,2.5013237295522863,0.525127532465579
L05141322,bilateral,izquierda,Welch,,30,15,152700,0.9249070134869359,1.8576035781136992,2.543593349187782,0.5253708161099956
L05141322,bilateral,izquierda,Welch,,30,16,152580,0.9221401780266928,1.8989664346873085,2.587745992416408,0.5255821698416062
L05141322,bilateral,izquierda,Welch,,30,17,152460,0.9192387227726697,1.9405997591732431,2.6332241913097603,0.5257645553804347
L05141322,bilateral,izquierda,Welch,,30,18,152340,0.9162319696177331,1.9819435915773478,2.679529179281858,0.5259602844698642
L05141322,bilateral,izquierda,Welch,,30,19,152220,0.913150984464169,2.0231606347642566,2.7261551568790483,0.5261752417852326
L05141322,bilateral,izquierda,Welch,,30,20,152100,0.9100220603921333,2.064168319606474,2.7727186245965227,0.5264561872284024
L05141322,bilateral,izquierda,Welch,,30,21,151980,0.906868219271596,2.1045015956271538,2.8188606339431255,0.5267523805349308
L05141322,bilateral,izquierda,Welch,,30,22,151860,0.9037113683461059,2.1438757938206647,2.8643231777706046,0.5271102598472026
L05141322,bilateral,izquierda,Welch,,30,23,151740,0.9005661090146555,2.1822292013096574,2.9089062989568797,0.5275233872306008
L05141322,bilateral,izquierda,Welch,,30,24,151620,0.8974508871977713,2.219571715377248,2.9524012402907016,0.5280081610834526
