registro,modo,lado,metodo,SpSmooth_s,shift_s,n,Pearson,MAE,RMSE
L05141322,bilateral,izquierda,Welch,30,24,153240,0.8986627300343863,2.2075823709155826,2.937917521050594
L05141322,bilateral,izquierda,Welch,30,25,153120,0.8956392371970617,2.243372462930531,2.979775700001942
L05141322,bilateral,izquierda,Welch,30,26,153000,0.8926731178441594,2.2777114391817594,3.020257999170229
L05141322,bilateral,izquierda,Welch,30,27,152880,0.8897783141872715,2.310534446208662,3.059239740009231
L05141322,bilateral,izquierda,Welch,30,28,152760,0.8869653044500171,2.341863372165392,3.0966456885081137
L05141322,bilateral,izquierda,Welch,30,29,152640,0.8842413608717093,2.3717758649058562,3.132430751607726
L05141322,bilateral,izquierda,Welch,30,30,152520,0.8816132108463937,2.4003569653614356,3.166579186252572
L05141322,bilateral,izquierda,spectrogram,30,0,156120,0.9348009645138491,1.6668600734100973,2.3770996734014798
L05141322,bilateral,izquierda,spectrogram,30,1,156000,0.9361787576373914,1.643252670257306,2.3535233078222824
L05141322,bilateral,izquierda,spectrogram,30,2,155880,0.9373591764727913,1.6228304693251527,2.333159232498979
L05141322,bilateral,izquierda,spectrogram,30,3,155760,0.9383367956039198,1.6062780792429099,2.3161961872018697
L05141322,bilateral,izquierda,spectrogram,30,4,155640,0.9391006516996003,1.5942818156382736,2.3029250777130295
L05141322,bilateral,izquierda,spectrogram,30,5,155520,0.9395681359583953,1.5884352296714936,2.294866016646565
L05141322,bilateral,izquierda,spectrogram,30,6,155400,0.9396725169622384,1.590177964800591,2.293262715884652
L05141322,bilateral,izquierda,spectrogram,30,7,155280,0.9394043971268339,1.599262768848617,2.2983091757452714
L05141322,bilateral,izquierda,spectrogram,30,8,155160,0.9387664738776782,1.615345449074458,2.309894776863415
L05141322,bilateral,izquierda,spectrogram,30,9,155040,0.9377768840712354,1.6374903906003275,2.327636813249582
L05141322,bilateral,izquierda,spectrogram,30,10,154920,0.9364549220068196,1.6647305910950267,2.351017939712222
L05141322,bilateral,izquierda,spectrogram,30,11,154800,0.9348237133050578,1.6962600744276364,2.3794917519991805
L05141322,bilateral,izquierda,spectrogram,30,12,154680,0.9329087198797863,1.731183370509718,2.4124594831448447
L05141322,bilateral,izquierda,spectrogram,30,13,154560,0.9307362479726826,1.7686425060127688,2.4492497996804574
L05141322,bilateral,izquierda,spectrogram,30,14,154440,0.9283418699481544,1.8078670400793035,2.4891409131716573
L05141322,bilateral,izquierda,spectrogram,30,15,154320,0.9257590408671269,1.8483963209962622,2.5314467594212884
L05141322,bilateral,izquierda,spectrogram,30,16,154200,0.9230179995541432,1.8895961047020235,2.575548984989752
L05141322,bilateral,izquierda,spectrogram,30,17,154080,0.9201486742269895,1.930979949798546,2.620870391099078
L05141322,bilateral,izquierda,spectrogram,30,18,153960,0.9171807747375332,1.972014031394526,2.666913327766541
L05141322,bilateral,izquierda,spectrogram,30,19,153840,0.9141422133425098,2.0128850471169955,2.713238375743379
L05141322,bilateral,izquierda,spectrogram,30,20,153720,0.9110573185503058,2.0535297058536126,2.7594828781278036
L05141322,bilateral,izquierda,spectrogram,30,21,153600,0.9079466483290267,2.0935226295749243,2.8053393224201932
L05141322,bilateral,izquierda,spectrogram,30,22,153480,0.9048318821509146,2.132554926668951,2.8505068195937335
L05141322,bilateral,izquierda,spectrogram,30,23,153360,0.9017314300424067,2.1705269851756896,2.8947518021851715
L05141322,bilateral,izquierda,spectrogram,30,24,153240,0.8986627300343863,2.2075823709155826,2.937917521050594
L05141322,bilateral,izquierda,spectrogram,30,25,153120,0.8956392371970617,2.243372462930531,2.979775700001942
L05141322,bilateral,izquierda,spectrogram,30,26,153000,0.8926731178441594,2.2777114391817594,3.020257999170229
L05141322,bilateral,izquierda,spectrogram,30,27,152880,0.8897783141872715,2.310534446208662,3.059239740009231
L05141322,bilateral,izquierda,spectrogram,30,28,152760,0.8869653044500171,2.341863372165392,3.0966456885081137
L05141322,bilateral,izquierda,spectrogram,30,29,152640,0.8842413608717093,2.3717758649058562,3.132430751607726
L05141322,bilateral,izquierda,spectrogram,30,30,152520,0.8816132108463937,2.4003569653614356,3.166579186252572
L05141322,bilateral,derecha,Welch,30,0,162660,0.940986294375539,1.807561217097019,2.4649646236560803
L05141322,bilateral,derecha,Welch,30,1,162600,0.9423293188947758,1.7869764099079066,2.4406465022161767
L05141322,bilateral,derecha,Welch,30,2,162540,0.9434882342870186,1.7690488005163232,2.4194741641363287
L05141322,bilateral,derecha,Welch,30,3,162480,0.9444581269589385,1.7542366944577763,2.401606315840615
L05141322,bilateral,derecha,Welch,30,4,162420,0.9452273817339221,1.7428179022027488,2.3873538439249993
